cai_score,gene,host,subtype
0.6627362026657351,NP,duck,H5N1
0.6616233634021531,NP,duck,H5N1
0.6616233634021531,NP,duck,H5N1
0.6621878677387272,NP,duck,H5N1
0.665726663221823,NP,duck,H5N1
0.6241375603116964,HA,duck,H5N1
0.6324912078442939,NA,duck,H5N1
0.6644835605195634,NP,duck,H5N1
0.6215330493244764,HA,duck,H5N1
0.6458156056587895,PA,duck,H5N1
0.6481584401052631,PB1,duck,H5N1
0.6247288155377078,PB2,duck,H5N1
0.6173650653362693,NA,duck,H5N1
0.6765162152055119,NP,duck,H5N1
0.6219558977150518,HA,duck,H5N1
0.6530060781883199,PA,duck,H5N1
0.6506339093785534,PB1,duck,H5N1
0.6295377120193952,PB2,duck,H5N1
0.6195399799414623,NA,duck,H5N1
0.677135785143872,NP,duck,H5N1
0.6253899598778345,HA,duck,H5N1
0.657233335811834,PA,duck,H5N1
0.6520571759466675,PB1,duck,H5N1
0.6259229825454632,PB2,duck,H5N1
0.6183591690658143,NA,duck,H5N1
0.6766626544618942,NP,duck,H5N1
0.6260387087181621,HA,duck,H5N1
0.6535578623529857,PA,duck,H5N1
0.650442028364348,PB1,duck,H5N1
0.625396318785156,PB2,duck,H5N1
0.6183591690658143,NA,duck,H5N1
0.675849257615141,NP,duck,H5N1
0.6250898543053597,HA,duck,H5N1
0.6535578623529857,PA,duck,H5N1
0.651637177674279,PB1,duck,H5N1
0.625396318785156,PB2,duck,H5N1
0.6183099532259826,NA,duck,H5N1
0.6753690380361677,NP,duck,H5N1
0.623018107072594,HA,duck,H5N1
0.6543585745052517,PA,duck,H5N1
0.6516205099209503,PB1,duck,H5N1
0.6305871411627854,PB2,duck,H5N1
0.6183099532259826,NA,duck,H5N1
0.6753690380361677,NP,duck,H5N1
0.6226344539500612,HA,duck,H5N1
0.6543585745052517,PA,duck,H5N1
0.6516205099209503,PB1,duck,H5N1
0.6305871411627854,PB2,duck,H5N1
0.6183099532259826,NA,duck,H5N1
0.6753690380361677,NP,duck,H5N1
0.6235512780735994,HA,duck,H5N1
0.6545599722850483,PA,duck,H5N1
0.6502453004161364,PB1,duck,H5N1
0.628951744008243,PB2,duck,H5N1
0.6183591690658143,NA,duck,H5N1
0.6765162152055119,NP,duck,H5N1
0.6244396300627277,HA,duck,H5N1
0.6551133046555924,PA,duck,H5N1
0.6525738013495951,PB1,duck,H5N1
0.6257289771926582,PB2,duck,H5N1
0.6183591690658143,NA,duck,H5N1
0.6765162152055119,NP,duck,H5N1
0.6244396300627277,HA,duck,H5N1
0.6551133046555924,PA,duck,H5N1
0.6525738013495951,PB1,duck,H5N1
0.6257289771926582,PB2,duck,H5N1
0.6183591690658143,NA,duck,H5N1
0.6765162152055119,NP,duck,H5N1
0.6244396300627277,HA,duck,H5N1
0.6554637081702474,PA,duck,H5N1
0.6525738013495951,PB1,duck,H5N1
0.6257289771926582,PB2,duck,H5N1
0.6183591690658143,NA,duck,H5N1
0.6765162152055119,NP,duck,H5N1
0.6244396300627277,HA,duck,H5N1
0.6554637081702474,PA,duck,H5N1
0.652252401790226,PB1,duck,H5N1
0.6257289771926582,PB2,duck,H5N1
0.6183591690658143,NA,duck,H5N1
0.6765162152055119,NP,duck,H5N1
0.6244396300627277,HA,duck,H5N1
0.6548767989435126,PA,duck,H5N1
0.652252401790226,PB1,duck,H5N1
0.6257289771926582,PB2,duck,H5N1
0.6183591690658143,NA,duck,H5N1
0.6765162152055119,NP,duck,H5N1
0.6244396300627277,HA,duck,H5N1
0.6554637081702474,PA,duck,H5N1
0.652252401790226,PB1,duck,H5N1
0.6257289771926582,PB2,duck,H5N1
0.6152206353378209,NA,duck,H5N1
0.6765162152055119,NP,duck,H5N1
0.6243813355062239,HA,duck,H5N1
0.6559189080658709,PA,duck,H5N1
0.6514384499722675,PB1,duck,H5N1
0.622339705690775,PB2,duck,H5N1
0.6152206353378209,NA,duck,H5N1
0.6765162152055119,NP,duck,H5N1
0.6243813355062239,HA,duck,H5N1
0.6559189080658709,PA,duck,H5N1
0.6514384499722675,PB1,duck,H5N1
0.622339705690775,PB2,duck,H5N1
0.6152206353378209,NA,duck,H5N1
0.6765162152055119,NP,duck,H5N1
0.6243813355062239,HA,duck,H5N1
0.6559189080658709,PA,duck,H5N1
0.6514384499722675,PB1,duck,H5N1
0.622339705690775,PB2,duck,H5N1
0.6152206353378209,NA,duck,H5N1
0.6765162152055119,NP,duck,H5N1
0.6243813355062239,HA,duck,H5N1
0.6571207331693583,PA,duck,H5N1
0.6514384499722675,PB1,duck,H5N1
0.6227136085971924,PB2,duck,H5N1
0.6173407954285319,NA,duck,H5N1
0.6718364051823686,NP,duck,H5N1
0.6216991042989674,HA,duck,H5N1
0.6559175737395662,PA,duck,H5N1
0.6505952583426104,PB1,duck,H5N1
0.6239489971804619,PB2,duck,H5N1
0.6173407954285319,NA,duck,H5N1
0.6718364051823686,NP,duck,H5N1
0.6216991042989674,HA,duck,H5N1
0.6559175737395662,PA,duck,H5N1
0.6505952583426104,PB1,duck,H5N1
0.6239489971804619,PB2,duck,H5N1
0.6173407954285319,NA,duck,H5N1
0.6718364051823686,NP,duck,H5N1
0.6216991042989674,HA,duck,H5N1
0.6559175737395662,PA,duck,H5N1
0.6505952583426104,PB1,duck,H5N1
0.6239489971804619,PB2,duck,H5N1
0.6177833942303879,NA,duck,H5N1
0.6718364051823686,NP,duck,H5N1
0.6216991042989674,HA,duck,H5N1
0.6559175737395662,PA,duck,H5N1
0.6505952583426104,PB1,duck,H5N1
0.6236727399728518,PB2,duck,H5N1
0.6183591690658143,NA,duck,H5N1
0.6765162152055119,NP,duck,H5N1
0.6244396300627277,HA,duck,H5N1
0.6554637081702474,PA,duck,H5N1
0.6525738013495951,PB1,duck,H5N1
0.6257289771926582,PB2,duck,H5N1
0.618682480742427,NA,duck,H5N1
0.6760570451822113,NP,duck,H5N1
0.6247697114029295,HA,duck,H5N1
0.6563222327301383,PA,duck,H5N1
0.6525738013495951,PB1,duck,H5N1
0.625947084126973,PB2,duck,H5N1
0.6182368321666514,NA,duck,H5N1
0.6761895139572687,NP,duck,H5N1
0.6222950798545324,HA,duck,H5N1
0.6549321164613786,PA,duck,H5N1
0.6510817097205212,PB1,duck,H5N1
0.6228823297584216,PB2,duck,H5N1
0.617968187180528,NA,duck,H5N1
0.6757479391994289,NP,duck,H5N1
0.623019508233483,HA,duck,H5N1
0.6537781763518212,PA,duck,H5N1
0.6496699073571939,PB1,duck,H5N1
0.6298864665943765,PB2,duck,H5N1
0.6164289525017735,NA,duck,H5N1
0.6765162152055119,NP,duck,H5N1
0.6245481532723373,HA,duck,H5N1
0.6537942980032394,PA,duck,H5N1
0.6476805849688861,PB1,duck,H5N1
0.6249403527375232,PB2,duck,H5N1
0.6183591690658143,NA,duck,H5N1
0.6765162152055119,NP,duck,H5N1
0.6244396300627277,HA,duck,H5N1
0.6554637081702474,PA,duck,H5N1
0.6525738013495951,PB1,duck,H5N1
0.6257289771926582,PB2,duck,H5N1
0.6183591690658143,NA,duck,H5N1
0.6765162152055119,NP,duck,H5N1
0.6248185291000368,HA,duck,H5N1
0.655830132621749,PA,duck,H5N1
0.6514127266468099,PB1,duck,H5N1
0.6261466809490781,PB2,duck,H5N1
0.6346605826623071,NA,duck,H5N1
0.6599115625707445,NP,duck,H5N1
0.627409887166811,HA,duck,H5N1
0.6442083361578937,PA,duck,H5N1
0.6536130620660118,PB1,duck,H5N1
0.62229158611967,PB2,duck,H5N1
0.6346605826623071,NA,duck,H5N1
0.659018706201581,NP,duck,H5N1
0.6264977906850592,HA,duck,H5N1
0.6442083361578937,PA,duck,H5N1
0.6532258560911353,PB1,duck,H5N1
0.6231762793894167,PB2,duck,H5N1
0.6346605826623071,NA,duck,H5N1
0.6599115625707445,NP,duck,H5N1
0.6264977906850592,HA,duck,H5N1
0.6442083361578937,PA,duck,H5N1
0.6536130620660118,PB1,duck,H5N1
0.6218319496278518,PB2,duck,H5N1
0.633942856276531,NA,duck,H5N1
0.6599115625707445,NP,duck,H5N1
0.6264977906850592,HA,duck,H5N1
0.6453711293746515,PA,duck,H5N1
0.6532258560911353,PB1,duck,H5N1
0.6229465785961552,PB2,duck,H5N1
0.6346605826623071,NA,duck,H5N1
0.6587781222348668,NP,duck,H5N1
0.6264977906850592,HA,duck,H5N1
0.6442083361578937,PA,duck,H5N1
0.653778761480172,PB1,duck,H5N1
0.6231762793894167,PB2,duck,H5N1
0.6346605826623071,NA,duck,H5N1
0.6599115625707445,NP,duck,H5N1
0.6259116941220787,HA,duck,H5N1
0.6442083361578937,PA,duck,H5N1
0.6532258560911353,PB1,duck,H5N1
0.6229465785961552,PB2,duck,H5N1
0.6346605826623071,NA,duck,H5N1
0.6594630937375399,NP,duck,H5N1
0.625252288349218,HA,duck,H5N1
0.6432637563471998,PA,duck,H5N1
0.6525144472776123,PB1,duck,H5N1
